title,author,category,keywords,summary
Access XP qing song ru men =,/authors/OL4156934A,Database management,"Database management, Computer programs, Microsoft Access",
Zhongguo xi nan min zu kao gu (Yunnan sheng bo wu guan yan jiu cong shu),/authors/OL4156961A,Ethnology,"Ethnology, Antiquities",
Tianjin zao nian de yi shi zhu xing,/authors/OL4156966A,Social life and customs,Social life and customs,
Fu huo le di Weinasi (Yunnan zuo jia cong shu),/authors/OL4157051A,,,
Taarifa ya Warsha ya Kitaifa kuhusu Hifadhi ya Mazingira na Kuondoa Umaskini,/authors/OL96424A,Poor,"Poor, Management, Economic assistance, Domestic, Natural resources, Domestic Economic assistance",Report of a national workshop on environmental conservation and poverty eradication in Tanzania.
Shu hua yu wen ren feng shang,/authors/OL4157191A,"Painting, Chinese","Painting, Chinese, Calligraphy, Chinese, Authors, Chinese, Chinese Calligraphy, Chinese Painting, Chinese Authors",
Zhong yi chang yong gong ju shu shou ce,/authors/OL4157507A,Chinese Medicine,"Chinese Medicine, Bibliography",
Zhongguo ji hua guan li ti zhi gai lun,/authors/OL4157618A,Economic policy,Economic policy,
Mang nian,/authors/OL4157650A,Chinese New year,"Chinese New year, Social life and customs",
Zhongguo min zhong yi shi,/authors/OL4157705A,Chinese National characteristics,Chinese National characteristics,
Qing chao wen zi yu,/authors/OL4157730A,Censorship,"Censorship, History",
Know your monkeys,/authors/OL96472A,,,
Guo ji tou zi fa,/authors/OL4157822A,Foreign Investments,"Foreign Investments, Law and legislation",
Mao Zedong zheng zhi fa zhan xue shuo gai yao,/authors/OL4157912A,Politics and government,"Politics and government, Views on political development",
Zhongguo nei di he Xianggang di qu lao nian ren sheng huo zhuang kuang he sheng huo zhi liang yan jiu,/authors/OL4158012A,Older people,Older people,
Da bu si de chao ji ye wu yuan,/authors/OL4158032A,Sales management,"Sales management, Selling, Marketing",
Kai'ensi jing ji xue shuo ping lun,/authors/OL4158339A,Keynesian economics,Keynesian economics,
Zhongguo wen xian shi,/authors/OL4158366A,History,"History, Bibliography, National Bibliography",
Puti Damo zhuan,/authors/OL4158376A,Anecdotes,"Anecdotes, Zen Buddhism",
Democracy is a good thing,/authors/OL4158613A,Politics and government,"Politics and government, Democracy, Political science, china, Political science, philosophy","""Presents selections of works of Yu Keping, a Chinese intellectual and figure in official think tanks, on politics and democracy that reveal the ongoing debates in Chinese political and intellectual circles on democratic reform and where China's political development is heading""--Provided by publisher."
Katsaus perhepolitiikan haasteisiin (Sosiaali- ja terveysministerion julkaisuja),/authors/OL4158818A,Family policy,Family policy,
Cookin,/authors/OL4159471A,,,
Zhi shi ying xiong,/authors/OL4159752A,Success in business,"Success in business, Qi ye jia, Sheng ping shi ji, Industrialists, Businesspeople, Biography, Dian zi ji suan ji gong ye, Computer industry",
Mao Zedong cai kuai si xiang yan jiu,/authors/OL4159838A,,,
Ren sheng xu yu,/authors/OL4159963A,Life,Life,
Zhongguo Lei Feng xian xiang,/authors/OL4160011A,Communist ethics,"Communist ethics, Communism and culture",
Jing tou xia de Zhong nan hai,/authors/OL4160064A,Anecdotes,"Anecdotes, Politics and government, Statesmen",
Nan yuan feng qing lu,/authors/OL4160068A,,,
Fen shen sui gu =,/authors/OL4160141A,,,
Xiao shi di tai yang,/authors/OL4160171A,Social conditions,"Social conditions, Social life and customs, City and town life, History",
Hubei sheng bo wu guan (Zhongguo bo wu guan cong shu),/authors/OL4160252A,Hubei sheng bo wu guan,"Hubei sheng bo wu guan, Decorative arts, Catalogs",
Guangdong Sheng bo wu guan cang pin xuan =,/authors/OL4160253A,Chinese Art objects,"Chinese Art objects, Catalogs, Art objects, Guangdong Sheng bo wu guan",
Cui Jian zai yi wu suo you zhong na han,/authors/OL4160343A,Rock music,"Rock music, Rock musicians, Popular music, Biography",
Zhan Jianjun,/authors/OL4160404A,"Painting, Chinese","Painting, Chinese, Criticism and interpretation, Chinese Painting",
Xing xing de qiao qiao hua,/authors/OL4160519A,Doctrines,"Doctrines, Buddhism, Conduct of life, Caricatures and cartoons, Juvenile literature, Children",
Zhongguo ying yong wen fa zhan shi,/authors/OL4160524A,Government correspondence,"Government correspondence, History and criticism, Chinese essays, Business writing",
Mou Zongsan xue shu si xiang ping zhuan (Er shi shi ji Zhongguo zhu ming xue zhe zhuan ji cong shu),/authors/OL4160553A,Chinese Philosophy,"Chinese Philosophy, Knowledge and learning",
Zhongguo ji xiang tu an,/authors/OL4160673A,Design,"Design, Decoration and ornament",
Qi ye jing zheng xue chu tan,/authors/OL4160743A,Competition,Competition,
Guang gao chuan bo (Guang gao da shou bi cong shu),/authors/OL4160762A,Advertising,Advertising,
Jie ri wen hua (Ya su wen hua shu xi),/authors/OL4160833A,Festivals,Festivals,
Tian gan di zhi ji li yu yu ce,/authors/OL4160938A,Chinese Calendar,"Chinese Calendar, Natural disasters, Forecasting",
Xing cao gu wen shi ci,/authors/OL4160979A,Chinese Calligraphy,"Chinese Calligraphy, History",
Zhongguo li dai jing ji guan li fan si,/authors/OL4161047A,Economic policy,Economic policy,
Gu gong cong tan,/authors/OL4161265A,"Forbidden City (Beijing, China)","Forbidden City (Beijing, China), Anecdotes",
Nan zheng bei zhan,/authors/OL4161292A,Drama,"Drama, History, China Civil War, 1945-1949",
Da bo dou =,/authors/OL4161306A,Fiction,"Fiction, History",
Feng yu bai nian,/authors/OL4161351A,,,
Diao zi qu ji,/authors/OL4161358A,,,
Xian dai zheng dang zhi zheng fang zhi bi jiao yan jiu,/authors/OL4161586A,Political parties,Political parties,
Lie xiang shao zhu,/authors/OL4161836A,,,
Shang mao yong ji liang shou ce,/authors/OL4161989A,Measurement,"Measurement, Handbooks, manuals",
"Zhui si, fu cha, zhan wang",/authors/OL4162020A,Civilization,Civilization,
Xue sheng shi zi kuai che = Xuesheng shizi kuaiche,/authors/OL4162062A,Chinese language,"Chinese language, Dictionaries",
Zhongguo jing ji fa zhan yu jin rong gai ge zhan lue,/authors/OL4162139A,Economic policy,"Economic policy, Finance",
Jing ju suo hua,/authors/OL4162292A,Opera,"Opera, +Theater",
Zhongguo ming sheng da dian,/authors/OL4162375A,Historic sites,"Historic sites, Description and travel",
Qing man guan shan,/authors/OL4162454A,Painters,"Painters, Biography, Criticism and interpretation, China painters",
Ling guang zhong de ben ti lun,/authors/OL4162497A,,,
The great Arab cities in the 16th-18th centuries,/authors/OL96748A,Social conditions,"Social conditions, Cities and towns, Villes, Conditions sociales, 15.00 history: general, 74.06 thematic geography: general, Großstadt, Historische Geografie, Stadt, Steden",
Fu,/authors/OL4162609A,History and criticism,"History and criticism, Chinese poetry, Fu",
Ming dai min yao qing hua ci da guan,/authors/OL4162630A,Blue and white ware,"Blue and white ware, Catalogs, Chinese Porcelain",
Fen bian fu,/authors/OL4162674A,,,
Qiang lin dan yu jian ying xiong,/authors/OL4162802A,,,
The Yellow Robe Monster,/authors/OL4162908A,Tales,Tales,
Zhu Qiping xin wen tong xun xuan,/authors/OL4162999A,,,
Taiping yang dao yu di zhi hui (Shi jie de zhi hui),/authors/OL4163004A,Civilization,Civilization,
Aomen shi hua (Bai nian Zhongguo shi hua),/authors/OL4163025A,History,"History, Manchus, Social life and customs, Mines and mineral resources, Mineral industries, Homeless persons, Agriculture, Secret societies, Organized crime, Finance",
Xizang de jie qing,/authors/OL4163107A,Social life and customs,"Social life and customs, Festivals",
Zeng Guofan jia yan lu,/authors/OL4163183A,Quotations,Quotations,
Da guan yuan zhi mi,/authors/OL4163203A,Chinese Gardens,Chinese Gardens,
Yi pin xiang yi zhi tai jie shang de qiu,/authors/OL4163242A,,,
Truth Surf Poster,/authors/OL4163317A,,,
Man hua Chang cheng,/authors/OL4163597A,Tales,"Tales, Poetry, History",
Frieden ohne Gerechtigkeit?,/authors/OL96790A,Human rights,"Human rights, Palestinian Arabs, Civil rights, Social conditions, Arab-Israeli conflict",
Su Shi di si xiang ji chuang zuo xin tan,/authors/OL4163631A,Criticism and interpretation,Criticism and interpretation,
Hong lou meng xiao kao =,/authors/OL4163850A,,,
Feng shui shi (Zhongguo she hui min su shi cong shu),/authors/OL4163853A,Feng shui,Feng shui,
"Xuan fu lun (Qi gong, yang sheng cong shu)",/authors/OL4164146A,Qi gong,"Qi gong, Exercise therapy",
You shi hou ke,/authors/OL4164159A,Throat,"Throat, Diseases",
Meiling xian yu (Xiu xiang hui tu chuan qi xiao shuo cong shu),/authors/OL4164277A,,,
Qiu Xun xiao shuo ji (Zhong wai er tong wen xue ming zhu ping jie cong shu),/authors/OL4164630A,,,
Da di zu yin,/authors/OL4164771A,Chinese Authors,"Chinese Authors, Biography",
Huangshan you lan san bai wen,/authors/OL4164777A,Tours,Tours,
Bei Song xin jiu dang zheng yu wen xue,/authors/OL4164841A,Chinese literature,"Chinese literature, Politics and government, History, History and criticism, Intellectual life",
Shu hua zhuang biao yi shu,/authors/OL4165076A,Pictures,"Pictures, Trimming, mounting, Chinese Painting, Conservation and restoration, Chinese Calligraphy",
Er tong wen yi xin li xue,/authors/OL4165132A,,,
Chu yi shu shi (Chu xue wen ku),/authors/OL4165165A,Chinese Art,"Chinese Art, Antiquities",
Feng bei,/authors/OL4165315A,,,
Jing shi jia yan ji yao,/authors/OL4165461A,Aphorisms and apothegms,"Aphorisms and apothegms, Ethics",
Wu xing di feng bei (Hua shan wen ku),/authors/OL4165490A,,,
"Ren zhi chu, xing ben zha",/authors/OL4165554A,Conduct of life,Conduct of life,
"""San guo yan yi"" yu chuan tong wen hua su yuan yan jiu",/authors/OL4165574A,Civilization,Civilization,
Xian dai fa xue,/authors/OL4165655A,Law,"Law, Philosophy, Public policy (Law)",
Zhivot V Sveta Na Baleta,/authors/OL4166407A,Ballerinas,"Ballerinas, Biography, Dance teachers",
Abi,/authors/OL96928A,Organized crime,"Organized crime, Political corruption, Politics and government",
Wen xue ping lun bai wen,/authors/OL4167104A,Criticism,"Criticism, Chinese literature, History and criticism",
Ku chi ti wei hu,/authors/OL4167137A,Protection,"Protection, Civilization, Cultural property",
Taiwan xian xian xian lei zhuan ji,/authors/OL4167248A,,,
Küreselleşme ve Türkiye,/authors/OL96938A,Globalization,"Globalization, Economic aspects, Economic integration, International economic integration, Economic aspects of Globalization, Economic conditions",
Qing dai Tong wen guan zhi yan jiu,/authors/OL4167304A,Study and teaching,"Study and teaching, Language and language, Tong wen guan (Beijing, China), Tong wen guan",
Zhongguo jian zhu de men wen hua =,/authors/OL4167347A,Gates,"Gates, Architecture, Chinese, Architecture, Doors, Details, Chinese Architecture",
Bi jiao wen xue li lun yu shi jian,/authors/OL4167502A,"Literature, Comparative","Literature, Comparative, Comparative Literature",
Liang an guan xi yu liang an dui ce,/authors/OL4167600A,Politics and government,"Politics and government, Foreign relations, Chinese reunification question, 1949-",
"Dong zhou lie guo zhi (1,2)",/authors/OL4167720A,Fiction,"Fiction, History",
Yabancılara Türkçe dersleri,/authors/OL96977A,,,
Ming Qing ren wu yu zhu shu,/authors/OL4167739A,Biography,"Biography, History, Author, Chinese, Chinese Author, Chinese Authors",
Han Liu wen xin tan (Zhongguo wen xue yan jiu cong kan),/authors/OL4167740A,Criticism and interpretation,Criticism and interpretation,
Zhu xi lun li xue,/authors/OL4167801A,Ethics,"Ethics, Ethics, Chinese, Chinese Ethics",
"The effects of retinoic acid, growth factors, neutralising antibodies and antisense oligonucleotide on murine embryonic tooth development and Msx gene expression",/authors/OL4167853A,,,
The Complete Collection of the Treasures of the of the Palace Museum Jadeware,/authors/OL4167861A,,,
"Story of the Great Wall, Vol. 2 ('Chang cheng (2)', in traditional Chinese, NOT in English)",/authors/OL4167937A,,,
Huang yu ting lei,/authors/OL4167942A,,,
Da yi yuan yi sheng,/authors/OL4167947A,,,
"Lang tao jin, ka tong ying xiong (Jiu ge wen ku)",/authors/OL4168334A,,,
Taiwan yuan zhu min di kou chuan wen xue (Yuan zhu min min zu zhi),/authors/OL4168403A,Folk literature,"Folk literature, Social life and customs, Ethnology, Folklore, History and criticism, Taiwan aborigines, Taiwan Folk literature",
Yi shi huai ren (Wen xue zhi),/authors/OL4168598A,Biography,"Biography, History",
Ming ru xue an dian jiao shi wu (Zhong yang yan jiu yuan li shi yu yan yan jiu suo zhuan kan),/authors/OL4168826A,Learning and scholarship,"Learning and scholarship, History",
Taiwan sheng cun yu hai quan fa zhan (An quan yan jiu cong shu),/authors/OL4168988A,Navies,"Navies, Coast defenses, Sea-power",
Yong heng de zhui si,/authors/OL4169080A,Anecdotes,"Anecdotes, Taiwanese, Biography, Taiwanese Americans",
Xia ji guan xing shou ce,/authors/OL4169104A,Stars,"Stars, Constellations",
Taiwan ming hun chuan qi (Xie he Taiwan cong kan),/authors/OL4169190A,Burial,"Burial, Funeral rites and ceremonies",
Taiwan min jian yi zhen,/authors/OL4169190A,Folk art,Folk art,
Gericilik döneminde dünya ve Türkiye,/authors/OL97011A,Politics and government,Politics and government,
Zhongguo hang kong shi,/authors/OL4169258A,Aeronautics,"Aeronautics, History",
Duo yuan wen hua shi ye zhong de Wang Zengqi xiao shuo,/authors/OL4169278A,,,
Jian zhu kong jian yi shu ji ji shu,/authors/OL4169579A,Space (Architecture),Space (Architecture),
Bi xue huang sha,/authors/OL4169616A,,,
Cong Yili yue Tianshan dao Luobubo,/authors/OL1028062A,Description and travel,"Description and travel, Lakes",
Yongzheng wai zhuan,/authors/OL4169736A,,,
Xian Qin shi qi Zhongguo ju zhu jian zhu,/authors/OL4169785A,"Architecture, Domestic","Architecture, Domestic, Architecture, History, Domestic Architecture",
Taiwan qi tan,/authors/OL4169969A,,,
La caricia esencial,/authors/OL4170174A,,,
Aja! Si Lo Es,/authors/OL4170256A,,,
Busco Tu Rostro/I Look for Your Face,/authors/OL4170984A,,,
Softbol Basico,/authors/OL4171460A,Softball,Softball,
Largometrajes Colombianos En Cine y Video,/authors/OL4171532A,Motion pictures,"Motion pictures, Catalogs, Video recordings",
Diccionario De Verbos Del Español,/authors/OL4171619A,,,
Neolithic Culture in Greece,/authors/OL4171939A,Neolithic period,"Neolithic period, Exhibitions, Civilization, Antiquities",
DLW Architects - Tow Over Town or the Freedom of Constricted Space,/authors/OL4171977A,,,
Play Bridge With Rookie,/authors/OL4172056A,,,
Zhongguo wen wu di tu ji,/authors/OL4172390A,Maps,"Maps, Antiquities",
Zhi shi Taiwan,/authors/OL4172666A,Politics and government,"Politics and government, Foreign relations",
Encyclopaedia on Street Drugs,/authors/OL4173389A,,,
Golgheloghi remrettento kepekkel gonosz kalandokkal teljes csudasagos historiaja,/authors/OL4173405A,,,
Lao tai jian di hui yi,/authors/OL4173574A,Eunuchs,"Eunuchs, Court and courtiers, Biography, History",
Xian dai Beijing hua yan jiu =,/authors/OL4173575A,Mandarin dialects,"Mandarin dialects, Modern Chinese, 1919-, Chinese language",
"Hong deng, lu deng (Gai ge qi shi lu cong shu)",/authors/OL4173648A,Singers,"Singers, Biography",
Zhongguo da xuan ju (Gai ge qi shi lu cong shu),/authors/OL4173666A,Politics and government,"Politics and government, China. Quan guo ren min dai biao da hui, China",
He ping zhi zi,/authors/OL4173749A,,,
Yaşlı ardıç ve Kımsorlular =,/authors/OL97135A,Social life and customs,"Social life and customs, Villages, Kurds",
Shi di ao mi,/authors/OL4173928A,Chinese poetry,"Chinese poetry, History and criticism, Poetry",
Jin Ping Mei xin lun,/authors/OL4174200A,,,
Elyazılarına vuruyor güneş,/authors/OL97153A,,,
San fen yi tan wei,/authors/OL4174438A,Yi jing,Yi jing,
Gu wen di biao dian duan ju he fan yi,/authors/OL4174590A,Chinese language,"Chinese language, Punctuation, Translating",
Zhongguo shen mei wen hua shi,/authors/OL4174677A,Chinese Aesthetics,"Chinese Aesthetics, Chinese Arts",
Han zi xing ti yan bian gai lun,/authors/OL4174778A,Chinese language,"Chinese language, Etymology",
Zhong yuan da xue xiao shi,/authors/OL4175247A,History,"History, Zhong yuan da xue (Wuhan Shi, China)",
Qi ye jing ji huo dong fen xi yu yu ce,/authors/OL4175425A,Government business enterprises,"Government business enterprises, Management, State farms, Economic forecasting",
Shi chang jing ji yu zhi shi chan quan bao hu,/authors/OL4175699A,Intellectual property,"Intellectual property, Patent laws and legislation",
Zhongguo shang gu jun shi shi,/authors/OL4175859A,Military History,"Military History, Military art and science, History",
Wang shi suo ji,/authors/OL4176004A,Women communists,"Women communists, Biography",
Bu şarkı burada bitmez,/authors/OL97198A,Municipal government,Municipal government,Municipal government; Turkey; autobiography.
Taiwan feng qing,/authors/OL4176243A,Description and travel,Description and travel,
Jing ji bai ke su yuan tan zui,/authors/OL4176260A,Economics,"Economics, Terminology, History",
Mo dai huang di li si ji shi,/authors/OL4176423A,Kings and rulers,"Kings and rulers, Biography",
Dongtai yu yan yu wen hua,/authors/OL4176528A,Kadai languages,"Kadai languages, Tai languages, Tai-Kadai languages",
Can shi yu jing tun,/authors/OL4176807A,Foreign relations,Foreign relations,
Jidu jiao yu Ming Qing ji Zhongguo she hui,/authors/OL4176912A,Church history,"Church history, Missions, History, Civilization, Western influences, Christian influences",
"""Körfez krizi"" ve devrimci olanaklar",/authors/OL97215A,Politics and government,"Politics and government, Iraq-Kuwait Crisis, 1990-1991",
"Say It Easily, II",/authors/OL4177069A,,,
Shi shi jiao zhu,/authors/OL4177419A,Chinese poetry,"Chinese poetry, History and criticism, Theory",
Ji chun tai,/authors/OL4177462A,,,
İsmet İnönü ve hârika çocuklar,/authors/OL97232A,Gifted children,"Gifted children, Music, Instruction and study, Legal status, laws",Music; Turkey; history.
Chu jian (Laozi) jian shi,/authors/OL4177558A,"Manuscripts, Chinese","Manuscripts, Chinese, Chinese Manuscripts, Chinese Inscriptions, Chinese language",
Anhui jin dai jing ji shi,/authors/OL4177800A,Economic conditions,Economic conditions,
Tao Yuanming ji yi zhu,/authors/OL4177967A,Criticism and interpretation,Criticism and interpretation,
"Trazos de forense penal (actualizada, aumentada y corregida)",/authors/OL6608889A,Criminal procedure,"Criminal procedure, Forms",
Zhongguo hua sheng Shitao (Bagui jun jie cong shu),/authors/OL4178334A,Fiction,Fiction,
Yao Dianzhong zhi xue wen ji,/authors/OL4178429A,,,
Zhe li mei you mian fei di wu can =: There is no free lunch here,/authors/OL4178449A,Travel,"Travel, Description and travel, Journeys",
Laozi xin jie,/authors/OL4178453A,,,
Jia Pingwa di dao lu,/authors/OL4178488A,Chinese Authors,"Chinese Authors, Biography",
Zhongguo guo ji si fa wan shan yan jiu =,/authors/OL4178583A,Conflict of laws,Conflict of laws,
Shang gu Han yu ci dian,/authors/OL4178647A,Chinese language,"Chinese language, Dictionaries",
Zhongguo min zu yu yan xue,/authors/OL4178820A,Languages,"Languages, Minorities",
Zhongguo gu dai jian die shi,/authors/OL4178954A,Intelligence service,"Intelligence service, History, Espionage, Secret service",
Xin jing ji he tong fa shi wu,/authors/OL4178988A,Contracts,Contracts,
Rang qian zi ji liu jin lai,/authors/OL4179075A,"Finance, Personal","Finance, Personal, Wealth, Psychological aspects, Personal Finance, Psychological aspects of Wealth",
"Xin Zhongguo dian ying yi shu shi gao, 1949-1959",/authors/OL4179115A,Motion pictures,"Motion pictures, History",
Xi tong gong neng yu fa dao lun =,/authors/OL4179212A,Systemic grammar,"Systemic grammar, Functionalism (Linguistics)",
Miert adtuk fol?,/authors/OL4179552A,Politics and government,"Politics and government, Socialists, Interviews, Historians",
Risale-i nur,/authors/OL97310A,Nurculuk,"Nurculuk, Doctrines, Islam, Appreciation, Essence, genius, nature, Universality, Sufism, Religion, Kurds, Koran",Islam and politics; Turkey; 20th century.
Sharh-i vasiyati az vasiyatha-yi Amir al-Muminin hangam-i shahadat,/authors/OL4180086A,Imams (Shiites),"Imams (Shiites), Caliphs, Biography",
Islam,/authors/OL4180098A,,,
Durnamayi az farhang-i Irani va jahani-i an (Majmuah-i tarikh va farhang-i Iran),/authors/OL4180196A,Influence,"Influence, Civilization, Iranian Art, Islamic civilization, Iranian influences, Iranian Civilization",
Tarikh-i Kurd va Kurdistan,/authors/OL4180198A,Kurds,"Kurds, History, Biography",
Partizan Yehudi ba-yaar,/authors/OL4181020A,Guerrillas,"Guerrillas, Jewish resistance, World War, 1939-1945, Guerrilla warfare, Holocaust, Jewish (1939-1945), Personal narratives",
Perakim be-toldot ha-psikhologyah (Sifriyat universitah meshuderet),/authors/OL4181175A,Psychology,"Psychology, History",
Tihyi gever,/authors/OL4181363A,Humor,"Humor, Israeli wit and humor, Sex role, Feminism",
ha-Sipur al ha-Ir ha-Adumah,/authors/OL4181387A,Jews,"Jews, Fiction, Moroccan Jews",
Shire Melamed,/authors/OL4181405A,,,
Bir başka âlem,/authors/OL97383A,,,
Medinat ha-Yehudim u-meever lah,/authors/OL4181873A,Post-Zionism,"Post-Zionism, Zionism, Religious Zionism, Arab-Israeli conflict, Religion and state",
Baʻad ṿe-ʻod,/authors/OL4182065A,Jewish Cookery,"Jewish Cookery, Jewish cooking",
New Instrumentation Surgery of the Spine,/authors/OL4182088A,,,
Humor,/authors/OL4182121A,Wit and humor,"Wit and humor, History and criticism, Jewish wit and humor",
Karadeniz,/authors/OL618817A,Guidebooks,"Guidebooks, Description and travel, Pictorial works",
Ets ha-armon,/authors/OL4182865A,,,
Avudah ʻIvrit,/authors/OL4182899A,,,
ha-Tinok me-Ufran,/authors/OL4182979A,Jews,"Jews, Fiction",
Serak =,/authors/OL4183009A,Assassination,"Assassination, Fiction",
Ninos Pequeños,/authors/OL4183792A,,,
Los Pueblos Indigenas De Oaxaca/the Village Of The Native Oaxaca Idians (Tezontle),/authors/OL4183826A,Indians of Mexico,"Indians of Mexico, Atlases, Pictorial works, Maps",
Fundamentos De Aire Acondicionado Y Refrigeracion,/authors/OL4183949A,Air conditioning,"Air conditioning, Problems, exercises, Refrigeration and refrigerating machinery, Climatisation, Problèmes et exercices, Réfrigération et appareils frigorifiques, Aire acondicionado, Refrigeración",
Mi Letra 3,/authors/OL4184004A,,,
Dinamica De Suelos Y Estructuras,/authors/OL4184129A,,,
Genetica Humana,/authors/OL4184240A,,,
"Millı̂ Eğitim bakanlarının eğitim faaliyetleri, 1920-1960",/authors/OL97513A,Education,"Education, History, Education and state, Educators, Biography, Educational law and legislation, Turkey. Millî Eğitim Bakanlığı, Turkey, Officials and employees",Education and state; Turkey; history.
Motores de Combustion Interna,/authors/OL4184983A,,,
"Incas, Los",/authors/OL4360074A,,,
Los pequenos grandes detalles,/authors/OL4185129A,,,
Yo te he nombrado reina,/authors/OL4185350A,Spanish Love poetry,"Spanish Love poetry, Poesía amorosa española",
Lo Que Me Dijo Pedro Infante/Biography of Pedro Infante,/authors/OL4185359A,Actores cinematogra ficos,"Actores cinematogra ficos, Singers, Biografi a., Motion picture actors and actresses, Cantantes, Biography",
Madres Solas (Single Mothers),/authors/OL4185911A,,,
Leyendas y Tradiciones de la Colonia-(col. vagones,/authors/OL4186235A,,,
Paradigmas En Psicologia De La Educacion,/authors/OL4186541A,,,
"Sirenita, La",/authors/OL4186925A,,,
Clay Minerals Society Annual Meeting,/authors/OL4187215A,,,
Sumavou za technickymi pamatkami,/authors/OL4187432A; /authors/OL6769092A,Technology,"Technology, History, Technology -- Czech Republic -- Šumava -- History, Šumava (Czech Republic) -- History",
Memories of the Slovak National Uprising,/authors/OL4187445A,,,
The Hindu Religious Year,/authors/OL4187854A,Fasts and feasts,"Fasts and feasts, Hinduism, Hindu sects, Hindu calendar",
"Padma-Purana, Part 2 (Ancient Indian Tradition and Mythology)",/authors/OL4188201A,,,
Impact of Television on the Political Awareness of the Rural Masses,/authors/OL4188439A,,,
Bhārtiya prāchina lipimālā,/authors/OL4188554A,,,
Interesting Cookery,/authors/OL4188622A,,,
Masters' theses: 1909-70,/authors/OL97647A,Dissertations,"Dissertations, American University of Beirut",
Problems in Quantum Mechanics,/authors/OL4189723A,,,
Encyclopaedia of World Philosophers,/authors/OL4189776A,,,
Violence Against Women,/authors/OL4189868A,,,
Exploration of Tibet,/authors/OL4190908A,,,
Human Anatomy Illustrated,/authors/OL4191088A,,,
Auditing in a Computerised Environment,/authors/OL4191300A,,,
Liberty and Social Transformation (A Study in Bertrand Russell's Political Thought),/authors/OL4191384A,,,
The C Odyssey,/authors/OL4191395A,,,
Fast Servicing and Oscilloscopes,/authors/OL4191399A,,,
"Proceedings of the International Conference on Analysis and its Applications ; An Event of World Math Year, 2000 December 6-9, 2000",/authors/OL4192323A,,,
The relevance of export processing zones for developing countries,/authors/OL4192344A,,,
Bhutan,/authors/OL4192359A,,,
Lenten Prayers and Reflections ; 40 Days of Grace,/authors/OL4192476A,,,
Buddistic Contribution to Sanskrit Poetics to Sanskrit Poetics,/authors/OL4192498A,,,
Watan de Shaheed,/authors/OL4192533A,,,
Brief History of Assam,/authors/OL4192551A,,,
1000 Himachal Quiz,/authors/OL4193046A,,,
Curriculum Studies ; A Model for SAARC Countries,/authors/OL4194368A,,,
Indian Women Through Ages,/authors/OL4194585A,,,
Swimming ; Skills and Rules,/authors/OL4194607A,,,
International Law and the Aerial Incident Case,/authors/OL4195375A,,,
Ruam kotmai mahachon waduai kanpatibat ratchakan læ sitthi nathi khong prachachon,/authors/OL97754A,,,
Radionuclides in Biomedical Sciences,/authors/OL4195643A,Radioisotopes,Radioisotopes,
Pre-School Education and Under-Privileged Children,/authors/OL4195823A,,,
Aplicacion Practica de La Computadora - 2b,/authors/OL4196350A,,,
Macroarquitectura - Tipologias y Estrategias,/authors/OL4196500A,City planning,"City planning, Urbanization, Urban renewal, Restauración urbana, Ciudades y pueblos, Planeación",
Introduccion Al Proyecto de Produccion,/authors/OL4196599A,Diseno del producto,"Diseno del producto, Proceso de produccioń, Administración del producto, Diseno industrial, Administración de empresas, Administración de la producción, Administración industrial, Diseño de productos",
Fenomenos naturales / Natural Phenomenons,/authors/OL4196946A,Desastres naturales,"Desastres naturales, Weather, Estado atmosférico, Juvenile literature, Natural disasters, Literatura juvenil",
"A veces, Dios dice ""¡NO!"" (Sometimes, God says ""No"")",/authors/OL4197254A,,,
Desarrollo Emocional. La organización de la vida emocional en los primeros años,/authors/OL4197333A,,,
Cuentos de la tradicion mexicana/ Stories of the Mexican Tradition (Literatura Infantil/ Children's Literature),/authors/OL4197550A,,,
National urban development policy framework,/authors/OL97789A,Economic policy,"Economic policy, City planning, Regional planning, Urbanization, Urban policy",
Filosofia,/authors/OL4197888A,,,
Geopolitica De La Expansion De La Otan,/authors/OL4198065A,,,
Pasteles/ Cakes,/authors/OL4198312A,Cake,"Cake, Desserts, Tortas, Pasteles",
A Century of Rice Improvement in Burma,/authors/OL4198503A,,,
Filipino Armas de mano Presas Sytle,/authors/OL4198621A,,,
A Confissao De Lucio,/authors/OL4198675A,,,
Lun Yue fang yan ci ben zi kao shi,/authors/OL4198748A,Etymology,"Etymology, Guangzhouese dialects, Cantonese dialects",
Leis do turismo,/authors/OL4198798A,Law and legislation,"Law and legislation, Tourism",
Antonio Manuel,/authors/OL4198804A,,,
The pipe and tabor book,/authors/OL4199048A,Pipe (Musical isntrument),"Pipe (Musical isntrument), Tambourin",
al-Kitab al-abyad fi mahkamat al-tarikh,/authors/OL4199599A,"Persian Gulf War, 1991","Persian Gulf War, 1991, Foreign relations",
al-Mutadilun fi al-siyasah al-Misriyah,/authors/OL4199818A,Politics and government,Politics and government,
1- Laiba al-hamam ;: 2- al-Riyah wa-al-sakinah,/authors/OL4200131A,,,
Hujjiyat al-amr al-maqdi wa-quwatuh,/authors/OL4200225A,Res judicata,"Res judicata, Criminal procedure, Civil procedure",
Harb bi-la banadiq,/authors/OL4200424A,Politics and government,"Politics and government, Peace, Arab-Israeli conflict",
Kayfa la abki!,/authors/OL4200452A,,,Literary sketches.
